quarter;instytucja;fundusz;emitent;shares_no;source
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Meta Platforms Inc.;95,776843;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Micron Technology Inc.;4094,692832;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Microsoft Corp.;882,2574339;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Mirbud S.A.;43322,81441;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Münchener Rück AG;32,07626445;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Nektar Therapeutics;34493,29637;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Nvidia Corp.;10586,06746;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Oracle Corp.;1676,83266;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Orange Polska S.A.;156959,8157;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Orlen S.A.;57294,46885;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;PGE Polska Grupa Energetyczna S.A.;92558,29799;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;PKO Bank Polski S.A.;131414,3472;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;PKP Cargo S.A.;28585,85871;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Pepco Group N.V.;12403,16232;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;PepsiCo Inc.;10,84985231;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Powszechny Zakład Ubezpieczeń S.A.;113744,6387;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Procter & Gamble Co;156,9574167;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;RTX Corp.;1753,153474;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Rainbow Tours S.A.;14290,22262;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Render Cube S.A.;1181,763205;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Rheinmetall AG;423,2805227;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;SAP SE;356,0122516;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Santander Bank Polska S.A.;7449,147223;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Schneider Electric SE;695,1513073;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Shoper S.A.;34944,81667;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Siemens Energy AG;10004,29306;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Snowflake Inc.;1320,295232;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Synektik S.A.;16644,70616;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Torpol S.A.;46534,7713;nationale_nederlanden_fixed_structure.csv
