COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;Pekao TFI S.A.;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL
OTP BANK NYRT.;OTP HB Equity;;;;0.6%;;;;;;;;;0.6%
Pan American Silver Corp;PAAS CN Equity;0.9%;;;;;;;;;;;;0.9%
POZNAŃSKA KORPORACJA BUDOWLANA PEKABEX S.A.;PBX PW Equity;;0.2%;;;;0.5%;;;;;0.5%;;1.2%
PCF GROUP S.A.;PCF PW Equity;;0.0%;;0.0%;;;;;0.1%;;;;0.1%
PEPCO GROUP N.V.;PCO PW Equity;;1.1%;0.9%;1.1%;0.5%;1.4%;0.3%;1.0%;1.0%;0.4%;1.5%;1.0%;10.3%
PCC ROKITA S.A.;PCR PW Equity;;0.1%;;;;;;;;;;;0.1%
BANK POLSKA KASA OPIEKI S.A.;PEO PW Equity;8.2%;6.8%;7.0%;8.1%;2.5%;7.8%;;6.5%;7.3%;6.5%;5.2%;9.1%;74.9%
POLENERGIA S.A.;PEP PW Equity;;0.7%;;0.1%;;;;;;;;0.2%;1.1%
PepsiCo Inc.;PEP US Equity;;;;;;;0.0%;;;;;;0.0%
Procter & Gamble Company;PG US Equity;;;;;;;;;;1.2%;;;1.2%
PGE POLSKA GRUPA ENERGETYCZNA S.A.;PGE PW Equity;;;0.8%;0.9%;1.3%;1.9%;;0.4%;1.7%;2.4%;0.7%;1.7%;11.7%
ORLEN S.A.;PKN PW Equity;4.7%;8.9%;6.6%;4.2%;2.1%;8.5%;3.1%;7.5%;6.9%;7.5%;6.5%;5.3%;71.7%
POWSZECHNA KASA OSZCZĘDNOŚCI BANK POLSKI S.A.;PKO PW Equity;12.0%;10.6%;10.1%;9.4%;2.2%;10.4%;;10.7%;12.8%;8.4%;7.5%;11.4%;105.7%
PKP CARGO SA;PKP PW Equity;;;;;;;0.3%;;0.2%;;;;0.5%
PLANET FITNESS INC CL A;PLNT US Equity;;;;;0.2%;;;;;;;;0.2%
PLAYWAY S.A.;PLW PW Equity;0.9%;0.3%;0.4%;0.4%;;0.9%;;;0.0%;;;;2.9%
POINTPACK PL SA;PNT PW Equity;;;;;;;;;;;0.2%;;0.2%
POOL CORP;POOL US Equity;;;;;0.4%;;;;;;;;0.4%
Poltreg SA;PTG PW Equity;0.2%;;;;;;;;;;;;0.2%
QUANTA SERVICES INC;PWR US Equity;;;;;1.0%;;;;;;;;1.0%
POLIMEX-MOSTOSTAL S.A.;PXM PW Equity;;;;0.7%;;;;0.8%;;;;;1.5%
