COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL
Capgemini SE;CAP FP Equity;;;;0.0038452998247149384;;;;;;;;;;0.0038452998247149384
INTER CARS S.A.;CAR PW Equity;0.027157639080331553;0.017262937456924654;;0.015129835910783107;0.004345916129946736;0.016490917909751852;0.017036008283268913;0.003957305210119661;0.01327064354395474;;0.020625360644860766;0.025224433061502265;0.00432340699250059;0.16482440422394486
CATERPILLAR INC;CAT US Equity;;;;;;0.0049253083287587746;;;;;;;;0.0049253083287587746
CYBER_FOLKS S.A.;CBF PW Equity;0.0137753840749185;0.008436479452393443;;0.012893789615434545;0.015874282124469352;0.006982956389086763;0.005855657386585189;;;0.011548628950355457;0.022505880303090016;0.008208774007841131;0.011772253307240428;0.11785408561141484
COMMERZBANK AG;CBK GR Equity;;;;;0.003742894946478491;;;;;;;;;0.003742894946478491
CCC S.A.;CCC PW Equity;0.013590231246770055;0.015585160484587701;0.007704426872871193;0.015224650287241386;0.029469632737556295;0.016177916343344194;0.021109346683384342;0.04548795344178719;0.02351748970662617;;0.02823654882272183;0.009675924919125913;0.036498976946683497;0.26227825849269976
CARNIVAL CORP;CCL US Equity;;;;;;0.0011165913099266993;;;;;;;;0.0011165913099266993
Cameco Corp;CCO CN Equity;;;;;;;;;;0.006836579246072048;;;;0.006836579246072048
PLN CDRL S.A.;CDL PW Equity;;;0.0000270666947500216;;;;;;;;;;;0.0000270666947500216
CD PROJEKT S.A.;CDR PW Equity;0.04086994512053164;0.02765174191096874;0.00128401525554837;0.011377723283548085;0.03960622492740796;0.016679625113055583;0.019794310001070021;0.03872511800296986;0.027412482916345833;0.0028134147798554276;0.011564939849123899;0.007797696186568556;0.03307204487484774;0.27864928222184176
PLN CEZ A.S.;CEZ CP Equity;;;0.00062130107932821976;;;;;;;;;;;0.00062130107932821976
CF Industries Holdings Inc;CF US Equity;;;0.001995108250342091;0.0020224732934107023;;;;;;;;;;0.0040175815437527934
CHEWY INC;CHWY US Equity;;;;;;0.0018546657422826393;;;;;;;;0.0018546657422826393
CLEAN HARBORS INC.;CLH US Equity;;;;;;0.007805228017522602;;;;;;;;0.007805228017522602
Celon Pharma S.A.;CLN PW Equity;0.004386094545421093;0.000809665325473514;;;0.0012364673445202588;;;;;;0.0033458949332144394;;;0.009778122148629306
COMP S.A.;CMP PW Equity;;0.001495449730777194;;;;;;;;;;;;0.001495449730777194
CAPITAL ONE FINANCIAL CORP;COF US Equity;;;;;;0.0012390177409594902;;;;;;;;0.0012390177409594902
COGNOR HOLDING S.A.;COG PW Equity;;;;;0.002371317744071624;;;;;;;;;0.002371317744071624
CONOCOPHILLIPS;COP US Equity;;;;;;0.0039797937988101617;;;;;;;;0.0039797937988101617
CANADIAN PACIFIC KANSAS CITY LTD;CP CN Equity;;;;;;0.0021982292031164508;;;;;;;;0.0021982292031164508
Compremum S.A.;CPR PW Equity;;;;;;;;0.001882600363323705;;;;;;0.001882600363323705
CYFROWY POLSAT S.A.;CPS PW Equity;0.007072398123948695;0.01116478746834148;;0.005191078221297275;0.011947140564558114;0.007244839329883571;0.007805770119745178;0.0032742343334464163;0.006554131801858109;0.01165690901487544;0.010493133520428128;0.011847640384166434;0.002533262106846085;0.09678532498939493
CREOTECH INSTRUMENTS S.A.;CRI PW Equity;;;;;0.003844006966606682;;;;;0.005764979986857041;;;;0.009608986953463723
CREEPY JAR S.A.;CRJ PW Equity;0.001986863845236812;0.00043871167887759355;0.0030023623363739005;;0.0005287328198863914;;;;;;;;0.00158931390207382;0.007545984582448517
SALESFORCE, INC.;CRM US Equity;;;;;;0.007094626344689464;;0.008505375777209014;;0.005847123484079096;;0.009099273479918284;;0.03054639908589586
CROCS INC;CROX US Equity;;;;;;0.0017051529225368764;;;;;;;;0.0017051529225368764
CrowdStrike Holdings Inc.;CRWD US Equity;;;;;;;;0.006480492213189993;;0.009743338909134357;;;;0.01622383112232435
CSX CORP;CSX US Equity;;;;;;0.0006659971821498797;;;;;;;;0.0006659971821498797
CTP N.V.;CTPNV NA Equity;;;0.0000024372001688625645;;0.0015603682481181758;;;;;;0.008973000122192147;;0.0047889651125474625;0.01532477068302665
Captor Therapeutics S.A.;CTX PW Equity;0.004421032104280216;;0.00023242913319487135;;0.00020656585467374994;;0.0026354754992795865;0.0007085331224421682;;0.0019677101380010756;;;;0.010171745851871667
DataWalk S.A.;DAT PW Equity;;;0.001301500819413428;;;;0.0037929991271126323;0.005272687580335451;;;;;;0.010367187526861512
DATADOG INC;DDOG US Equity;;;;;;0.0021466812562549506;;;;;;;;0.0021466812562549506
DEERE & COMPANY;DE US Equity;;;;0.005581760467333929;;0.0015993011948260002;;;;;;;;0.00718106166215993
DEKPOL S.A.;DEK PW Equity;;0.001394606346045085;;;;;;;;;;;;0.001394606346045085
DELKO S.A.;DEL PW Equity;;0.00025489330203938856;;;;;;;;;;;;0.00025489330203938856
Vinci SA;DG FP Equity;;;;;;0.004507949279560508;;0.005117278547197418;;;;;;0.009625227826757926
Deutsche Post AG;DHL GR Equity;;;;;;;;0.00004842005541784632;;;;;;0.00004842005541784632
Danaher Corp;DHR US Equity;;;;0.003801517465553862;;;;;;0.0006328783081426609;;;;0.004434395773696523
Walt Disney Co/The;DIS US Equity;;;;0.00649671444001866;;;;;;;;;;0.00649671444001866
DINO POLSKA S.A.;DNP PW Equity;0.05106868541658961;0.04683149150689093;;0.03179789170803829;0.04846673530655494;0.016480420235911848;0.0444715112179413;0.03769362677452877;0.036439195813930363;0.007476925144871259;0.04358574991563609;0.03791505809036566;0.01971874596239525;0.42194603709365424
DO & CO AG;DOC AV Equity;;;;;0.0046506966715230985;;;;;;;;;0.0046506966715230985
DOM DEVELOPMENT S.A.;DOM PW Equity;0.010403073719466864;0.005769280607535623;;;0.009086828594412973;0.015818831426565538;0.0046278357137596376;;0.0000006275054108649189;0.006524807336161061;;0.005400080053493723;0.008693226225753384;0.06632459118255967
DEVELIA S.A.;DVL PW Equity;0.010556520319501015;0.008676489470819193;0.003394474812595161;;0.009893983424621331;;0.006208462705051448;;0.003542031493390426;0.004398410896708286;0.0005913453907118736;0.008609829563268067;;0.0558715480766668
DexCom Inc;DXCM US Equity;;;;;;;;;;0.006554677698787263;;;;0.006554677698787263
ESOTIQ & HENDERSON S.A.;EAH PW Equity;;0.001928800513406253;;;;;;;;;;;;0.001928800513406253
AMREST HOLDINGS SE;EAT PW Equity;;0.000008564566332815686;;0.002660495791572712;0.0010679444119803758;;0.006591869575693502;;0.0045278956148441607;;0.0009969496332154337;;;0.015853719593638997
PLN ERSTE GROUP BANK AG;EBS AV Equity;;;0.02738544666281115;;;;;;;;;;;0.02738544666281115
Echo Investment S.A.;ECH PW Equity;;0.0005733952559872614;;0.003849763667451157;;;0.003078086414990017;;0.0031942980543335775;;0.004299280328836695;0.010493452185953946;0.006440247088283182;0.031928522995835835
ELF BEAUTY INC;ELF US Equity;;;;;;0.003432842051265445;;;;;;;;0.003432842051265445
ENEA S.A.;ENA PW Equity;;0.001745823517848895;0.0234706328477955;;0.008303631396648686;0.0017735410137708474;0.008104450055797228;;0.007350698707968358;;;;;0.050748777539829515
ENPHASE ENERGY INC;ENPH US Equity;;;;;;;;;;;;0.005663482383555773;;0.005663482383555773
ENTER AIR S.A.;ENT PW Equity;0.013409607556154954;0.0048772631732417454;;0.006644749929665332;;0.002807314532766519;;;;;;0.008838577413984474;;0.036577512605813025
EOG RESOURCES INC;EOG US Equity;;;;;;0.005874569254407646;;;;;;;;0.005874569254407646
ERBUD S.A.;ERB PW Equity;;0.0015625634336650707;;;;0.0009884370850325903;0.0017925105217828238;;;;;;;0.004343511040480485
EUROTEL S.A.;ETL PW Equity;;0.00035116425037831876;;;;;;;0.0009308898120196131;;;;;0.0012820540623979318
Eurocash S.A.;EUR PW Equity;;0.0008107206632207103;;;;;0.004254805135887697;;0.0020406967220228403;;;;;0.007106222521131248
FABRITY HOLDING S.A.;FAB PW Equity;;0.00050634198066269925;;;;;;;;;;;;0.00050634198066269925
FREEPORT-MCMORAN INC;FCX US Equity;;;;;;0.003585560036209901;;;;;;;;0.003585560036209901
FEDEX CORP;FDX US Equity;;;;;;0.0028528934215101237;;;;;;;;0.0028528934215101237
FEERUM S.A.;FEE PW Equity;;0.0010019046427972829;;;;;;;;;;;;0.0010019046427972829
PLN FIELMANN AG;FIE GR Equity;;;0.0026335561047472766;;;;;;;;;;;0.0026335561047472766
FIFTH THIRD BANCORP;FITB US Equity;;;;;;0.0017451727055044225;;;;;;;;0.0017451727055044225
FERRO S.A.;FRO PW Equity;0.0022269528437192598;0.0019354311454058523;;0.0045145237012438205;0.0008137273761766227;0.007568891522714725;0.0033542499585799146;;0.0014595484145915047;;;0.007580760100423096;0.011204844502170366;0.04065892956502516
FRESHPET INC;FRPT US Equity;;;;;;0.0011542721712343516;;;;;;;;0.0011542721712343516
FORVIA SE;FRVIA FP Equity;;;;;;;;;;;;0.003293353038329995;;0.003293353038329995
First Solar Inc;FSLR US Equity;;;;;;;;;;0.012946935300794553;;;;0.012946935300794553
FEDERAL SIGNAL CORPORATION;FSS US Equity;;;;;;0.010458609498289713;;;;;;;;0.010458609498289713
FABRYKI MEBLI FORTE S.A.;FTE PW Equity;;0.00034262302245722166;;;0.0006717946406611786;0.0005832541652805318;;;;;;;;0.001597671828398932
GRENEVIA S.A.;GEA PW Equity;;0.0005835126466976088;0.003031032672905793;;0.00263857536674164;;;0.000010540590779040701;0.0014999101171099455;0.003694590477328395;0.00107207053903917;;;0.012530232410601592
PLN GLOBAL FASHION GROUP SA;GFG GR Equity;;;0.0000013899825631360653;;;;;;;;;;;0.0000013899825631360653
PLN GILEAD SCIENCES INC;GILD US Equity;;;0.0004152499971010133;;;;;;;;;;;0.0004152499971010133
Alphabet Inc.;GOOGL US Equity;;;0.022898005877494727;0.01663842655680469;;;;0.004666621810448337;;0.00925794551645857;0.014178135000745942;;;0.06763913476195226
GRUPA PRACUJ S.A.;GPP PW Equity;0.0006501971404591154;0.0008128806647636543;;0.006114396197192551;;0.008512770043814741;0.004127399580191997;;0.004038588317425657;0.014867972997192187;0.007196811760211512;;0.02367784937266951;0.06999886607392092
GIEŁDA PAPIERÓW WARTOŚCIOWYCH W WARSZAWIE S.A.;GPW PW Equity;;0.0015227089956644352;;;0.0017773011405657083;0.0020646256295962198;;;0.0025805126291034547;;;;;0.007945148394929817
PLN GRAIL INC;GRAL US Equity;;;0.000002560317700734345;;;;;;;;;;;0.000002560317700734345
Grenergy Renovables S.A.;GRE SM Equity;;;;;;;;0.004451728550437415;;;;;;0.004451728550437415
GRODNO S.A.;GRN PW Equity;;0.0005056543805920406;;;;;;;;;;0.0032705326972568816;;0.003776187077848922
GREENEX METALS LTD;GRX AU Equity;;0.0007193461136603274;;;;;;;;;;;;0.0007193461136603274
Goldman Sachs Group Inc;GS US Equity;;;;0.008450053196317916;;;;;;;;;;0.008450053196317916
GLOBE TRADE CENTRE SA;GTC PW Equity;;;;;;;;;0.0000694518304841018;;;;;0.0000694518304841018
HUNTINGTON BANCSHARES INC;HBAN US Equity;;;;;;0.001681673684011874;;;;;;;;0.001681673684011874
PRZEDSIEBIORSTWO HYDRAULIKI SI;HDR PW Equity;;;;;;;;;0.0006544151297301876;;;;;0.0006544151297301876
Thales SA;HO FP Equity;;;;;;;;;;0.0037898022581994145;;;;0.0037898022581994145
HUUUGE INC.;HUG PW Equity;;0.0011973581640290006;0.008509543193774451;;0.000977252666006817;;;;0.001297228214796761;;0.01164799774393234;0.004707296783617785;;0.028336676766157156
PLN HYDROGENPRO AS;HYPRO NO Equity;;;0.000002643050765926003;;;;;;;;;;;0.000002643050765926003
Indra Sistemas SA;IDR SM Equity;;;;;;;;;;0.004721384192604098;;;;0.004721384192604098
Infineon Technologies AG;IFX GR Equity;0.006274955466116101;;;;;;;;;;;;;0.006274955466116101
PLN ILLUMINA INC;ILMN US Equity;;;0.00014153026177257576;;;;;;;;;;;0.00014153026177257576
INDUSTRIAL MILK COMPANY S.A.;IMC PW Equity;;0.00020310725873962664;;;;;;;;;;;;0.00020310725873962664
PLN IMPACT COATINGS AB;IMPC SS Equity;;;0.00004394548559613507;;;;;;;;;;;0.00004394548559613507
IMS S.A.;IMS PW Equity;;0.002722617732710329;;;;;;;;;;;;0.002722617732710329
ING BANK ŚLĄSKI S.A.;ING PW Equity;;0.01979229459602977;0.005773038556253058;0.007403708485284637;0.010046882419742784;0.01438931804059926;0.019349957772687352;;0.0028027055619783287;;0.00010897262029914806;0.019809673395880147;0.0041642063493972403;0.10364075779815172
PLN ING GROEP NV;INGA NA Equity;;;0.006918835220013586;;;;;;;;;;;0.006918835220013586
INSTAL KRAKÓW S.A.;INK PW Equity;;0.0006492809216883065;;;;;;;;;;;;0.0006492809216883065
INTROL S.A.;INL PW Equity;;0.0011395187674973367;;;;;;;;;;;;0.0011395187674973367
INPOST S.A.;INPST NA Equity;;0.021166901437074994;;0.011509197466164134;0.015849206647610903;0.018072638271153494;0.0094000103497683;0.016620302237303197;;0.014866106099528047;0.020156504155965957;0.01284560475870842;;0.14048647142327745
INTEL CORP;INTC US Equity;;;;;;;;;;;;0.008496232041120976;;0.008496232041120976
INGERSOLL-RAND INC;IR US Equity;;;;;;0.008081006799605491;;;;;;;;0.008081006799605491
INTUITIVE SURGICAL INC;ISRG US Equity;;;0.0013028514714342815;;;0.005645929405331334;;;;0.009037651592090327;;;;0.015986432468855942
IZOBLOK S.A.;IZB PW Equity;;;;;;;;;;;;0.0011340366972021948;;0.0011340366972021948
Janux Therapeutics Inc.;JANX US Equity;;;;;;;;0.005591917549456455;;;;;;0.005591917549456455
PLN JENOPTIK AG;JEN GR Equity;;;0.00004594348672523092;;;;;;;;;;;0.00004594348672523092
JERONIMO MARTINS SGPS S.A.;JMT PL Equity;;;0.01443644666389008;0.0031091710784702487;;0.0040362187270160954;;;;;0.022094638847806625;;;0.04367647531718305
Johnson & Johnson;JNJ US Equity;;;;0.006700056834300411;;;;;;;;;;0.006700056834300411
JPMORGAN CHASE & CO;JPM US Equity;;;;;;0.01032655113327251;;;;;;;;0.01032655113327251
JASTRZĘBSKA SPÓŁKA WĘGLOWA S.A.;JSW PW Equity;;0.0015310073779500827;0.006999449657638307;;;;0.002705118516407564;;0.0026323368992595536;;;0.0040587152449810193;;0.017926627696236528
KGHM POLSKA MIEDŹ S.A.;KGH PW Equity;0.02468627010418253;0.031069607522627463;0.03151233948064462;0.022917146867291875;0.03596661087534757;0.014663981072797916;0.02733965165635269;;0.04386777190404141;0.029284156759663063;;0.03146342518964254;0.024142131202831982;0.3169130926354236
Kraft Heinz Co/The;KHC US Equity;;;;0.001498286807903285;;;;;;;;;;0.001498286807903285
COCA-COLA CO/THE;KO US Equity;;;;0.009557711916571991;;0.008162110877105758;;;;;;;;0.01771982279367775
KINO POLSKA TV S.A.;KPL PW Equity;;0.0016116497904200947;;;;;;;;;;;;0.0016116497904200947
PLN KRKA DD NOVO MESTO;KRKG SV Equity;;;0.000341504942886884;;;;;;;;;;;0.000341504942886884
KRUK S.A.;KRU PW Equity;0.03679451892556502;0.02562934553582081;0.008784354459438959;0.02416014364640818;0.022860283981963145;0.015267536418719216;0.022398747536298407;0.02003336659252471;0.019886667974726748;0.022018191050839357;0.005120101340383509;0.01952965916862373;0.02060108069203987;0.26308399732335168
KRATOS DEFENSE & SECURITY SOLUTIONS INC;KTOS US Equity;;;;;;0.002074709046892426;;;;;;;;0.002074709046892426
GRUPA KĘTY S.A.;KTY PW Equity;0.02066611450106009;0.018442580631077101;0.0016511282618193487;0.014776633696214454;0.010985474493317449;0.0159699972888102;0.016895553953919937;;0.017094228945429637;;0.011636365437410006;0.008191039968174935;0.006684300509648333;0.14299341768688148
KLAVIYO INC;KVYO US Equity;;;;;;0.0011059171638064076;;;;;;;;0.0011059171638064076
LUBAWA S.A.;LBW PW Equity;;;;;0.008178066527238194;;;;;;;;;0.008178066527238194
L3Harris Technologies Inc;LHX US Equity;;;;;;;;;;0.007615075572017445;;;;0.007615075572017445
Linde Plc;LIN US Equity;;;;;;;;0.012242696093202003;;;;;;0.012242696093202003
LOKUM DEWELOPER S.A.;LKD PW Equity;;0.001202335679557467;;;;;;;;;;;;0.001202335679557467
CHENIERE ENERGY INC;LNG US Equity;;;;;;0.00746085211567447;;;;;;;;0.00746085211567447
LPP S.A.;LPP PW Equity;0.05568472911565481;0.06885525301638628;0.09542590785978634;0.05348077712168617;0.052506160775390445;0.019968291829739853;0.07068583648447378;0.06038499636568164;0.05164837921845712;0.029638867315849216;0.0798681316478228;0.05802637388996818;0.08632164758009374;0.7824953522209904
LSI SOFTWARE S.A.;LSI PW Equity;;0.0010477811479427596;;;;;;;;;;;;0.0010477811479427596
Lululemon Athletica Inc;LULU US Equity;;;;;;;;;;0.005929266981301153;;;;0.005929266981301153
LUBELSKI WĘGIEL BOGDANKA S.A.;LWB PW Equity;;0.000398733105757331;0.00030985377281971635;;;0.0008839559709091376;;;;;;;;0.0015925428494861849
