COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;Vienna Life;TOTAL
CaixaBank SA;CABK SM Equity;;;;;;;;0.00996837988723776;;;;;;;;;0.00996837988723776
Capgemini SE;CAP FP Equity;;;;;;;;;;;;0.01773665748418497;;;;;0.01773665748418497
INTER CARS S.A.;CAR PW Equity;0.007736480068946835;0.014199562085379025;;0.012660679765247997;0.014510212246005096;0.011063673214856549;0.014283334455168384;;;0.009041701735429728;0.005999601801178864;0.011402410077553187;0.02035507034759653;0.027173947519539734;0.004597424656040551;0.020988377766432595;0.17401247573937507
CATERPILLAR INC;CAT US Equity;;;;;;0.0018832198218329765;;0.004584229913308641;;;;;;;;;0.006467449735141617
CYBER_FOLKS S.A.;CBF PW Equity;0.010797439362173837;0.006788411537908879;;0.016995309286010598;0.012435447509818354;0.008291530962236122;0.00579883535088722;0.013451316610433453;0.015384816489236817;0.0023792681974384236;0.013862613090320544;0.02031982253684549;;0.00565000645481856;0.0111260425567929;0.03055021681356357;0.1738310767584848
COMMERZBANK AG;CBK GR Equity;;;;;;0.0032550252316094874;;;;;;;;;;;0.0032550252316094874
COEUR MINING INC;CDE US Equity;;;;;;0.0010533639389147262;;;;;;;;;;;0.0010533639389147262
CD PROJEKT S.A.;CDR PW Equity;0.031361743121603127;0.03028135955120622;0.00054462154997304627;0.020021204128003505;0.032687275169685193;0.025206362955628574;0.019075971602865678;0.02777377720401605;0.027331753877594656;0.02904488381990226;0.022447647840956333;0.006929620865661446;0.035393152078898074;0.02740544131712762;0.014383654793892673;0.02470374258689183;0.3745922124639063
CONSTELLATION ENERGY CORP;CEG US Equity;;;;;;0.000722970295356236;;;;;;;;;;;0.000722970295356236
CITIZENS FINANCIAL GROUP;CFG US Equity;;;;;;0.00054631709902271106;;;;;;;;;;;0.00054631709902271106
CHEMRING GROUP PLC;CHG LN Equity;;;;;;0.001920370558249303;;;;;;;;;;;0.001920370558249303
CIENA CORP;CIEN US Equity;;;;;;0.0005290144793337688;;;;;;;;;;;0.0005290144793337688
PLN CIRCA GROUP AS;CIRCA Equity;;;0;;;;;;;;;;;;;;0
CLEVELAND-CLIFFS INC;CLF US Equity;;;;;;0.0004451237644568984;;;;;;;;;;;0.0004451237644568984
CLEAN HARBORS INC.;CLH US Equity;;;;;;0.002508487368463918;;;;;;;;;;;0.002508487368463918
Celon Pharma S.A.;CLN PW Equity;0.0031427301882502817;0.0004434439761820087;;;0.0011575186358088094;;;;;;;0.0016240305100775496;;;;;0.006367723310318649
COMP SA;CMP PW Equity;0.002669183111413413;0.0022756697173946344;;0.0035069091039532785;;;;;;;0.00004369790418895537;;;;;;0.008495459836950281
COGNOR HOLDING S.A.;COG PW Equity;;;0.004841945008944767;;0.0010718640796903282;;;;;;;;;0.002809296043540837;;;0.008723105132175932
CONOCOPHILLIPS;COP US Equity;;;;;;0.0003471340631023438;;;;;;;;;;;0.0003471340631023438
Compremum S.A.;CPR PW Equity;;;;;;;;0.0009505821833565306;;;;;;;;;0.0009505821833565306
CYFROWY POLSAT S.A.;CPS PW Equity;;0.007686543357874814;;0.005736026110020945;;0.003805645347322576;0.005202876210187144;;0.00447293192393706;0.005367111384216425;;0.008025772907771933;0.009600218501451716;;0.000630422831945187;;0.0505275485747278
