COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Generali Investments TFI S.A._pct;Goldman Sachs TFI S.A._pct;Investors TFI S.A._pct;Millennium TFI S.A._pct;Nationale-Nederlanden_pct;PFR TFI S.A._pct;PKO TFI S.A._pct;PZU TFI S.A._pct;Pekao TFI S.A._pct;Pocztylion_pct;Santander TFI S.A._pct;UNIQA TFI S.A._pct;TOTAL_pct
ASSECO POLAND S.A.;ACP PW Equity;129985;-2571;0;22438;-31438;-11935;-355;802276.2;-1482;-32889;-210462;-30870;36.3;-61;9073;641745.5;0.6105792717297358;-0.19145133665946833;;0.956599590723056;-0.29113302773533356;-0.4194194545965701;-0.037733843537414935;;-0.2120778477389811;-0.1337848556958936;-1;-1;0.0022005951843733218;-1;0.26412622631073333;0.6822012846054541
ASSECO SOUTH EASTERN EUROPE S.A.;ASE PW Equity;0;-3661;0;16489;11121;7942;0;0;3314;15962;22292;-420;0;0;40058;113097;;-0.4381282910483485;;;0.2367983987735287;1.4513888888888889;;;0.8421855146124524;0.30236214506260527;0.0910550243240924;-0.05023322569070688;;;2.3563529411764708;0.29171416927608607
ASTARTA HOLDING N.V.;AST PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;0
ASTRAZENECA PLC;AZN LN Equity;0;0;0;0;0;0;0;0;0;0;56600;0;0;0;0;56600;;;;;;;;;;;;;;;;
ATAL S.A.;1AT PW Equity;85955;-869;0;0;52014;0;1035;0;0;0;0;0;0;30059;46692;214886;5.481124856523403;-0.60811756473058075;;;;;1.1551339285714283;;;;;0;;;;3.0012849520936345
ATENDE S.A.;ATD PW Equity;0;24400;0;0;0;0;0;0;0;0;0;0;0;0;0;24400;;1.9941157240928408;;;;;;;;;;;;;;1.9941157240928408
ATM GRUPA SA;ATG PW Equity;0;32212;0;0;0;0;0;0;0;239592;0;0;0;0;0;271804;;0.6901191190333363;;;;;;;;0.07567465130382045;;;;;;0.08460150724175763
AUTO PARTNER S.A.;APR PW Equity;165828;12796;0;23290;-93065;90933;2882;0;10712;62921;687385;-44269;11126.5;0;19684;950223.5;;0.4569836791543158;;0.26389439691802163;-0.33628673534651284;3.0837289744981007;0.1656702690273626;;0.9358727939891665;0.14165143315113138;1.6175553531802342;-1;0.38239160491637804;;0.1569834674492978;0.6254626125394338
AUTODESK INC;ADSK US Equity;0;0;0;0;0;298;0;0;0;0;0;0;0;0;0;298;;;;;;;;;;;;;;;;
AbbVie Inc;ABBV US Equity;0;0;0;0;0;0;0;0;0;0;-25;0;0;0;0;-25;;;;;;;;;;;-1;;;;;-1
Abbott Laboratories;ABT US Equity;0;0;0;2031;0;0;0;0;0;0;0;0;0;0;0;2031;;;;;;;;;;;;;;;;
Adidas AG;ADS GR Equity;5309;0;0;0;0;0;0;0;0;0;36064;0;0;0;0;41373;7.551920341394025;;;;;;;;;;;;;;;58.85206258890469
Adobe Inc;ADBE US Equity;0;0;0;-564;0;0;0;0;0;0;5474;0;0;-415;0;4495;;;;-0.5320754716981132;;;;;;;;;;-1;;3.0474576271186436
Agora S.A.;AGO PW Equity;0;0;0;0;0;0;1685;0;0;0;0;0;0;0;0;1685;;;;;;;0.3633031479085813;;;0;;;;;;0.03547965973216538
Allianz SE;ALV GR Equity;0;0;0;343;0;0;0;0;0;0;0;0;0;0;0;343;;;;0.5461783439490446;;;;;;;;;;;;0.5461783439490446
Amazon.com Inc.;AMZN US Equity;25037;0;2915;22;0;4413;0;0;0;0;0;0;0;1067;0;33454;;;0.83596214511041;0.006012571740912742;;;;;;;0;0;;0.3615723483564892;;2.350948699929726
Ambra S.A.;AMB PW Equity;-31249;-52;0;0;24885;0;0;0;0;1313;0;0;19857.4;0;0;14754.4;-1;-1;;;0.52415957536439464;;;;;0.007299229494891035;;;1.41850587193188;;;0.05411317776348223
Amper S.A.;AMP SM Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Analog Devices, Inc.;ADI US Equity;0;0;0;-1014;0;0;0;0;0;0;0;0;0;0;0;-1014;;;;-0.4596554850407978;;;;;;;;;;;;-0.4596554850407978
Anglo American PLC;AAL LN Equity;0;0;0;0;0;0;0;0;0;0;207250;0;0;0;0;207250;;;;;;;;;;;4.408824029952348;;;;;4.408824029952348
Apple Inc;AAPL US Equity;0;0;0;1064;0;1041;0;1871.3;0;0;1285;0;0;0;0;5261.3;;;;0.4455611390284757;;;;;;;0.08965950320960081;;;;;0.3146710526315788
Aptiv PLC;APTV US Equity;0;0;0;0;0;0;0;0;0;0;0;-4923;0;0;0;-4923;;;;;;;;;;;;-1;;;;-1
BAE Systems PLC;BA/ LN Equity;0;0;0;0;0;0;0;0;0;0;284930;0;0;0;0;284930;;;;;;;;;;;1.1671479774705583;;;;;1.1671479774705583
BANK HANDLOWY W WARSZAWIE S.A.;BHW PW Equity;0;3842;0;13321;7424;0;1563;0;4689;146737;0;-110;6754.2;6648;-18149;172719.2;;0.5492494639027876;;;0.07423703051877917;;0.3720542727921923;;1.1931297709923663;1.369160142946451;;-0.0472103004291845;0.3917659000609033;0.5237945162306965;-1;0.6333335411208425
BANK MILLENNIUM S.A.;MIL PW Equity;-546500;47449;0;0;546746;54182;0;4934629.2;48982;1703009;7130;1152072;57336.4;-93497;585000;8496538.6;-1;0.44986868677291824;;;1.5729307214964456;0.14205635900286296;;;2.583847655219708;0.3793704221838077;0.08242774566473997;3.2094539254851486;0.5280830389351616;-0.4107014214678545;;1.2737163859375688
BANK POLSKA KASA OPIEKI S.A.;PEO PW Equity;178643;21493;25135;28834;157723;27234;9093;0;2885;129037;415690;70692;6923;20128;36763;1130273;0.4892546003784921;0.6418311583599605;0.3286694998365478;0.38299285391706285;0.8027024276044583;0.30794454872339937;0.3406893967778195;;0.18145795333039814;0.10512144970607018;0.63742056969012985;0.4428296698133891;0.1759128232948921;0.3647764548107069;0.2121448191491817;0.3548728212990198
BAYERISCHE MOTOREN WERKE AG;BMW GR Equity;0;0;0;0;0;589;0;0;0;0;0;0;0;0;0;589;;;;;;;;;;;;;;;;
BENEFIT SYSTEMS S.A.;BFT PW Equity;11389;502;0;552;264;23655;283;41716.4;122;1764;13553;-172;380.9;819;-1355;93473.4;2.309205190592052;1.0913043478260872;0;;0.051693753671431475;6.882455629909805;0.6868932038834951;;0.32707774798927616;0.05562387664364765;0.4866951556720651;-0.05699138502319412;6.431538071923012;0.5128365685660614;-0.1887712454722764;1.0605917881371197
BHP Group Limited;BHP AU Equity;0;0;0;0;0;0;0;0;0;0;0;216776;0;0;0;216776;;;;;;;;;;;;;;;;
BLOOM ENERGY CORP;BE US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;18658;0;18658;;;;;;;;;;;;;;2.464403645489367;;2.464403645489367
BNP PARIBAS BANK POLSKA S.A.;BNPPPL PW Equity;139389;0;0;0;-9234;-134;0;0;0;3078;0;0;0;0;51;133150;5.91433299389002;;;;-0.4741463414634146;-0.006983895345807012;;;0;0.026655120155877787;;0;;;0.004859919954259606;0.63917317920851026
BNP PARIBAS S.A.;BNP FP Equity;0;0;0;0;0;2059;0;2053;0;0;0;0;0;0;0;4112;;;0;;;;;;;;;;;;;5.482653333333334
BOOMBIT S.A.;BBT PW Equity;0;3693;0;0;0;0;0;0;0;0;0;0;0;0;0;3693;;;;;;;;;;;;;;;;
BUDIMEX S.A.;BDX PW Equity;0;-615;0;3534;-21289;1616;5;45453.5;-559;-1724;12480;-11050;-495.6;-3612;672;24416;;-0.20479520479520474;;2.323471400394477;-0.6619302282196381;0.16071606166086518;0.003032140691328067;;-0.214340490797546;-0.02329163176524629;0.22775800711743766;-0.8990318118948825;-0.5331991951710262;-1;0.06886657101865135;0.11829368009585583
BUMECH S.A.;BMC PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;0
Banco Comercial Portugues S.A.;BCP PL Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Bank of America Corporation;BAC US Equity;0;0;0;5320;0;4230;0;0;0;0;0;0;0;0;0;9550;;;;0.8939674004369013;;;;;;;;;;;;1.6047723071752648
Barclays Plc;BARC LN Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Barrick Gold Corp;B US Equity;108031;0;-450;0;0;43798;0;0;0;0;6781;53470;0;0;0;211630;2.5339165923910497;;-0.13108068744538304;;;;;;;;0.08106298789016275;;;;;1.6314620946977288
Berkshire Hathaway Inc.;BRK/A US Equity;0;0;0;0;0;0;0;3.9;0;0;0;0;0;0;0;3.9;;;;;;;;;;;;;;;;
BlackRock, Inc.;BLK US Equity;0;0;0;0;0;0;0;0;0;0;0;967;0;0;0;967;;;;;;;;;;;;;;;;
CADENCE DESIGN SYSTEMS INC;CDNS US Equity;0;0;0;0;0;519;0;0;0;0;0;0;0;0;0;519;;;;;;;;;;;;;;;;
CANADIAN PACIFIC KANSAS CITY LTD;CP CN Equity;0;0;0;0;0;1697;0;0;0;0;0;0;0;0;0;1697;;;;;;;;;;;;;;;;
CATERPILLAR INC;CAT US Equity;0;0;0;0;0;1489;0;0;0;0;0;0;0;0;0;1489;;;;;;;;;;;;;;;;
CCC S.A.;MDV PW Equity;0;0;30700;0;0;0;1931;152264.2;6248;-131453;274247;-16566;17807.3;0;41000;376178.5;;;307;;;;0.3129152487441258;;5.56366874443455;-0.6899768000923797;;-1;5.679268631059261;;;1.728654184076548
CD PROJEKT S.A.;CDR PW Equity;0;6390;0;3352;2379;5705;-2802;577489.9;2072;311628;153421;-27532;3906.4;2729;-13749;1024989.2;;0.4896551724137932;0;0.1780989320439934;0.04191184242979462;0.39247385800770495;-0.3599229287090559;;3.192604006163328;1.7878521884304917;0.6372494859919835;-0.7420424224456244;0.20823880113268032;0.1785410533202485;-1;1.671794912027107
CELON PHARMA S.A.;CLN PW Equity;-65620;0;0;0;-682;0;0;0;0;0;0;0;0;0;0;-66302;-1;0;;;-0.0151899861909216;;;;;0;;;;;;-0.39142550151724464
CHENIERE ENERGY INC;LNG US Equity;0;0;0;0;0;785;0;0;0;0;0;0;0;0;0;785;;;;;;;;;;;;;;;;
CHEVRON CORP;CVX US Equity;0;0;0;0;0;894;0;0;0;0;0;0;0;0;0;894;;;;;;;;;;;;;;;;
CIECH S.A.;CIE PW Equity;0;-3645;0;0;-61977;-14140;-5196;0;-6402;-314592;0;-96833;0;-20591;0;-523376;;-1;;;-1;-1;-1;;-1;-1;;-1;;-1;;-1
CITIGROUP GLOBAL MARKETS LUXEMBURG;C US Equity;0;0;0;0;0;0;0;0;0;8000;0;0;0;0;0;8000;;;;;;;;;;;;;;;;
CLEAN HARBORS INC.;CLH US Equity;0;0;0;0;0;687;0;0;0;0;0;0;0;0;0;687;;;;;;;;;;;;;;;;
COGNOR HOLDING S.A.;COG PW Equity;0;-19023;0;0;-56183;0;0;0;0;0;0;0;0;0;0;-75206;;-1;;;-1;;;;;;;;;;;-1
COMARCH S.A.;CMR PW Equity;-3117;-817;0;-3804;-2568;0;987;0;0;1045;0;-2954;5147;6019;0;-62;-1;-0.9623085983510012;0;-0.4378453038674033;-0.3043375207395117;;1.4242424242424244;;0;0.034811286185415957;;-0.4496194824961949;0.8267181298497705;;;-0.0008433887826434505
COMMERZBANK AG;CBK GR Equity;0;0;0;0;0;11654;0;0;0;0;0;0;0;0;0;11654;;;;;;;;;;;;;;;;
COMP S.A.;CMP PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;0
CONOCOPHILLIPS;COP US Equity;0;0;0;0;0;2258;0;0;0;0;0;0;0;0;0;2258;;;;;;;;;;;;;;;;
CREEPY JAR S.A.;CRJ PW Equity;7415;0;0;0;-506;0;0;0;300;0;0;0;0;0;1879;9088;4.101216814159292;0;0;;-0.16150654324928183;;;;;;;;;;0.6024366784225714;1.0207795125238684
CREOTECH;CRI PW Equity;0;0;0;0;0;0;0;0;0;0;107914;0;0;0;0;107914;;;;;;;;;;;;;;;;
CRH PLC;CRH US Equity;0;0;0;0;0;0;0;0;0;0;0;-12284;0;0;0;-12284;;;;;;;;;;;;-1;;;;-1
CSPX ISHARES VII PLC ISHRS CORE S&P 500 UCITS ETF USD (ACC);CSPX LN Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
CSX CORP;CSX US Equity;0;0;0;0;0;6713;0;0;0;0;0;0;0;0;0;6713;;;;;;;;;;;;;;;;
CTP N.V.;CTPNV NA Equity;0;0;0;0;0;0;0;0;0;0;0;30272;0;0;7072;37344;;;0;;;;;;;;;;;;0.3372276000190739;1.78006578006578
CYBER_FOLKS S.A.;CBF PW Equity;95037;2200;0;2223;43900;10317;0;0;2494;0;54581;0;0;-4587;0;206165;0.9261150469211354;1.5193370165745853;;0.08560536044362287;;;;;4.7777777777777777;;;;;-0.2569316081330869;;1.3891584125058958
CYFROWY POLSAT S.A.;CPS PW Equity;0;0;0;130502;180475;-554;10458;0;-19817;84722;0;440306;32423.9;118801;-72919;904397.9;;0;;4.2245961606940534;1.1893464607922608;-0.02881664499349801;0.3274366761639376;;-1;0.0815885116226216;;4.3991008092716555;0.844676032180298;2.395326330221586;-0.5138071716965311;0.5407189121992315
CaixaBank SA;CABK SM Equity;0;0;0;0;0;0;0;1472709.1;0;0;0;0;0;0;0;1472709.1;;;;;;;;;;;;;;;;
Camden Property Trust;CPT US Equity;0;0;0;0;0;0;0;0;0;0;0;16208;0;0;0;16208;;;;;;;;;;;;;;;;
Capgemini SE;CAP FP Equity;0;0;0;366;0;0;0;0;0;0;16016;0;0;0;0;16382;;;;0.4485294117647059;;;;;;;0.9362249371602267;;;;;0.9140210902192713
Captor Therapeutics S.A.;CTX PW Equity;60805;0;0;0;-68;0;2002;0;0;0;0;0;0;0;0;62739;4.158744271937624;;0;;-0.014526810510574695;0;0.693213296398892;;;;;;;;;2.6398636707902045
Cie Financiere Richemont SA;CFR SW Equity;0;0;0;0;0;0;0;0;0;0;17567;0;0;0;0;17567;;;;;;;;;;;1.3550601666152426;;;;;1.3550601666152426
Cisco Systems Inc;CSCO US Equity;0;0;0;-3050;0;0;0;0;0;0;0;0;0;0;0;-3050;;;;-1;;;;;;;;;;;;-1
Coca-Cola Co;KO US Equity;0;0;0;5526;0;5734;0;0;0;0;0;0;0;0;0;11260;;;;;;;;;;;;;;;;
Compremum S.A.;CPR PW Equity;0;0;0;0;0;0;0;1073782.2;0;0;0;0;0;0;0;1073782.2;;;;;;;;;;;;;;;;
Costco Wholesale Corp.;COST US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Covestro AG;1COV GR Equity;0;0;0;-2344;0;0;0;0;0;0;0;-8172;0;0;0;-10516;;;;-0.3595092024539878;;;;;;;;-1;;;;-0.7157636809147836
CrowdStrike Holdings Inc;CRWD US Equity;0;0;0;0;0;0;0;17243.7;0;0;0;0;0;-1214;0;16029.7;;;;;;;;;;;;;;-1;;13.204069192751238
Cytokinetix Inc.;CYTK US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
DADELO S.A.;DAD PW Equity;0;-2787;0;0;0;0;0;0;0;0;0;0;0;0;0;-2787;;-1;;;;;;;;;;;;;;-1
DEERE & COMPANY;DE US Equity;0;0;0;0;0;590;0;0;0;0;0;0;0;0;0;590;;;;;;;;;;;;;;;;
DEKPOL S.A.;DEK PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;0
DELKO S.A.;DEL PW Equity;0;2245;0;0;0;0;0;0;0;0;0;0;0;0;0;2245;;1;;;;;;;;;;;;;;1
DEVELIA S.A.;DVL PW Equity;0;56715;0;0;257327;0;78751;0;107124;0;0;0;79052.8;-115854;0;463115.8;;0.5389213021912238;;;;;;;;0;;;0.2009094049871445;-0.2733024458367932;;0.33262504547671746
DINO POLSKA S.A.;DNP PW Equity;46797;4641;0;11972;11772;9834;2369;1481041.1;1158;-18196;110608;-36104;16674.6;6692;8831;1658089.7;0.3661393296404094;0.460234034113447;;0.9337805163403792;0.1891053958972546;0.45852566792558406;0.3550659472422062;;0.29722792607802884;-0.065051462728400455;0.5751277824863899;-0.9148359305713923;0.14873133732606147;0.5213056009971177;0.29220435444378268;1.818768500347966
DO & CO AG;DOC AV Equity;0;0;0;0;3603;0;0;0;0;0;0;0;0;0;0;3603;;;;;;;;;;;;;;;;
DOM DEVELOPMENT S.A.;DOM PW Equity;0;0;0;0;40522;5113;1778;0;3060;-10528;105611;-365;0;-1100;19800;163891;;0;;;6.340478798310124;0.54002957329953524;;;;-0.9990510533308029;;-0.039868924085199375;;-0.12719703977798336;;3.6371726586773195
Daimler AG;MBG GR Equity;0;0;0;0;0;0;0;0;0;0;63140;0;0;0;0;63140;;;;;;;;;;;;;;;;
Danaher Corp;DHR US Equity;0;0;0;916;0;0;0;0;0;0;0;0;0;0;0;916;;;;;;;;;;;;0;;;;0.3609141055949567
Darden Restaurants Inc.;DRI US Equity;0;0;0;0;0;0;0;0;0;0;0;8498;0;0;0;8498;;;;;;;;;;;;;;;;
DataWalk SA;DAT PW Equity;-30265;0;0;0;-4310;-1698;2161;0;0;0;5455;0;0;0;0;-28657;-1;;0;;-1;-0.5061102831594635;0.5626139026295236;;;;0.09109277937345528;;;;;-0.26145705031704757
Deutsche Post AG;DHL GR Equity;0;0;0;0;0;0;0;550.3;0;0;0;0;0;0;0;550.3;;;;;;;;;;;;;;;;
DexCom Inc;DXCM US Equity;0;0;0;0;0;0;0;0;0;0;59635;0;0;0;0;59635;;;;;;;;;;;;;;;;
ECHO INVESTMENT S.A.;ECH PW Equity;0;3268;0;208810;0;0;13504;0;59795;7090;0;488305;0;0;549608;1330380;;0.14091673494027845;;;;;0.46812493500190655;;;0.002987258017354;;1.8718757666830226;;;;0.49524329974582294
ELF BEAUTY INC;ELF US Equity;0;0;0;0;0;1407;0;0;0;0;0;0;0;0;0;1407;;;;;;;;;;;;;;;;
ENEA S.A.;ENA PW Equity;0;0;259950;0;780003;80133;-240;0;0;665009;0;412699;0;100975;0;2298529;;0;1.9050934408208136;;8.253126653264205;1.4422007451001565;-0.005217504728363687;;;1.0824718439047896;;;;;;2.3720017543407033
ENPHASE ENERGY INC;ENPH US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;4435;0;4435;;;;;;;;;;;;;;;;
ENTER AIR S.A.;ENT PW Equity;239839;7765;0;-16834;0;3046;0;0;0;0;0;0;0;25554;0;259370;;;;-0.4226780827077109;;0.3992659588412637;;;;;;;;;;5.465483816587997
EOG RESOURCES INC;EOG US Equity;0;0;0;0;0;3003;0;0;0;0;0;0;0;0;0;3003;;;;;;;;;;;;;;;;
ERBUD S.A.;ERB PW Equity;-12289;3597;0;0;0;693;1090;0;0;0;0;0;0;-19670;0;-26579;-1;0.9528476821192054;;;;0.12085803976281827;1.3814955640050698;;0;;;;;-1;;-0.5941167266468471
ESOTIQ & HENDERSON S.A.;EAH PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;0
EUROCASH S.A.;EUR PW Equity;0;5361;0;0;0;74300;16854;0;29492;171591;0;-54334;0;37453;0;280717;;0.410836079393057;;;;;1.67885247534615;;;0.22510734484029783;;-0.5651491039202837;;0.6485143371658124;;0.29887547857638697
EUROTEL S.A.;ETL PW Equity;0;-1389;0;0;0;0;0;0;0;0;0;0;0;0;0;-1389;;-0.43352059925093634;;;;;;;;0;;;;;;-0.01588881262868913
FABRYKI MEBLI FORTE S.A.;FTE PW Equity;0;0;0;0;0;-153;0;0;6720;0;0;0;17758.3;0;0;24325.3;;0;;;;-0.031167243837848857;;;11.62629757785467;;;;0.9922157204230062;;;0.9566863219280903
FAURECIA SE;FRVIA FP Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;-8532;0;-8532;;;;;;;;;;;;;;-1;;-1
FEERUM S.A.;FEE PW Equity;0;18731;0;0;0;0;0;0;0;0;0;0;0;0;0;18731;;;;;;;;;;;;;;;;
FERRO S.A.;FRO PW Equity;0;0;0;-3102;20655;12799;0;0;-1128;29777;0;0;2873.7;52524;88043;202441.7;;0;;-0.06962806671006261;;0.3700844321073329;;;-1;0.29777000000000008;;;0.11289581854388997;;9.291156606162938;0.9283270952425565
FREEPORT-MCMORAN INC;FCX US Equity;0;0;0;0;0;11503;0;0;0;0;0;35235;0;0;0;46738;;;;;;;;;;;;;;;;
FedEx Corp;FDX US Equity;0;0;0;874;0;962;0;0;0;0;0;0;0;0;0;1836;;;;;;;;;;;;;;;;
Fortinet Inc;FTNT US Equity;0;0;0;0;0;0;0;0;0;0;0;18594;0;0;0;18594;;;;;;;;;;;;;;;;
