COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;Vienna Life;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Generali Investments TFI S.A._pct;Goldman Sachs TFI S.A._pct;Investors TFI S.A._pct;Millennium TFI S.A._pct;Nationale-Nederlanden_pct;PFR TFI S.A._pct;PKO TFI S.A._pct;PZU TFI S.A._pct;Pekao TFI S.A._pct;Pocztylion_pct;Santander TFI S.A._pct;UNIQA TFI S.A._pct;Vienna Life_pct;TOTAL_pct
BANK OF AMERICA CORP;BAC US Equity;0;0;0;-15679;0;-4326;0;-81789.8;0;0;0;0;0;-15294;0;0;-117088.8;;;;-1;;-0.4209809264305178;;-0.7079355712138273;;;;;;-1;;;-0.7468263382306483
BANK POLSKA KASA OPIEKI S.A.;PEO PW Equity;46233;-1372;-2000;-785;53528;2872;-2061;126803.5;27817;-134881;88936;-57347;-14.8;-19078;44927;70911;244488.7;0.10180677126341875;-0.023149866702662614;-0.020294266869609334;-0.006589882641325651;0.13619281939592543;0.021478357115079616;-0.04941142624247796;0.3291243364585688;1.0803557557868571;-0.08830596270331558;0.0774498739009879;-0.16605472708846104;-0.00026490354672659144;-0.16543244133816614;0.31313469245513147;;0.0484477199813822
BARCLAYS PLC;BARC LN Equity;0;0;0;0;316444;0;0;0;0;0;0;0;0;0;0;0;316444;;;;;;;;;;;;;;;;;
BARRICK GOLD CORP;B US Equity;-288238;0;-2233;0;0;-9600;0;0;0;0;-79316;-53470;0;-16806;0;0;-449663;-1;;-1;;;-1;;;;;-1;-1;;-1;;;-1
BARRICK MINING CORP;ABX CN Equity;0;0;0;0;0;4089;0;0;11962;0;0;0;0;0;0;0;16051;;;;;;;;;;;;;;;;;
BEFESA SA;BFSA GR Equity;0;0;0;0;91207;0;0;0;0;0;0;0;0;0;0;0;91207;;;;;;;;;;;;;;;;;
BENEFIT SYSTEMS S.A.;BFT PW Equity;4721;649;7463;1898;4445;-3923;234;6385.4;897;16815;3600;11675;932.9;3083;3935;1892;64702.3;0.5339893677185839;0.4747622531089979;3.870850622406639;1.2104591836734696;0.903822692151281;-0.11490583169795842;0.2925;0.3747029255016376;1.997772828507795;1.0054412819899548;0.09176650522559271;2.85871694417238;1.3768023968003305;1.7487237663074305;0.7805990874826423;;0.466919073194405
BHP Group Limited;BHP AU Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;0;;;;;0
BIO-TECHNE CORP;TECH US Equity;0;0;0;-2266;0;0;0;0;0;0;0;0;0;0;0;0;-2266;;;;-1;;;;;;;;;;;;;-1
BNP PARIBAS;BNP FP Equity;0;0;-750;0;0;-644;0;-16.1;0;0;0;0;0;0;0;0;-1410.1;;;-1;;;-0.30739856801909305;;-0.009515361187498073;;;;;;;;;-0.31086982881204595
BNP PARIBAS BANK POLSKA S.A.;BNPPPL PW Equity;33000;0;33926;13413;59507;9752;804;0;-609;72599;201462;10855;0;21044;99698;0;555451;0.21302279343889797;;2.71408;0.5413269836144967;5.92581159131647;0.4688686956103658;0.10138713745271133;;-1;0.25822985619315574;1.37142273655548;0.28133423180593;;1.3420062496014285;4.904225490678341;;0.7565329076580687
BOSTON SCIENTIFIC CORP;BSX US Equity;0;0;0;0;0;928;0;0;0;0;0;0;0;0;0;0;928;;;;;;;;;;;;;;;;;
BROADCOM INC;AVGO US Equity;0;0;0;0;0;-188;0;-3751;0;0;0;0;0;2825;0;0;-1114;;;;;;-0.249667994687915;;-0.1318523715752642;;;;;;;;;-0.03814777348038667
BUDIMEX S.A.;BDX PW Equity;49706;2840;0;904;10758;5523;1693;-1708.9;3519;12597;27641;-4852;-237.4;0;12135;1165;121682.7;;0.744429882044561;;0.32801161103047896;0.8484896285195993;0.7358113509192646;2.62888198757764;-0.036510883166754993;13.229323308270677;0.12991419495895373;0.33003785029432485;-1;-1;;404.5;;0.4674599505236428
