COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Erste;Generali Investments TFI S.A.;ING;Investors TFI S.A.;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;UNIQA TFI S.A.;TOTAL
MICROSOFT CORPORATION;MSFT US Equity;;;0.0021065253743466236;0.04317036084904118;;0.003194985970779209;0.006491859317205634;0.004542233806193387;;;;0.05950596531756604
MAGYAR TELEKOM TELECOMMUNICATIONS PLC;MTELEKOM HB Equity;;;;0.007112986183594517;;0.007427230120733553;;;;;;0.01454021630432807
METLEN ENERGY & METALS PLC;MTLN LN Equity;;;;;;0.0049652198843612916;;;;;;0.0049652198843612916
Micron Technology Inc.;MU US Equity;;;0.09288442714686948;;;;0.00717506871475255;0.00549575678445427;;;0.006546753552758019;0.11210200619883432
MURAPOL S.A.;MUR PW Equity;;;;0.006314690835733247;;;;;;0.0019925383230212884;0.0029519098846495334;0.011259139043404067
NEWMONT CORP;NEM US Equity;;;;;;;0.0006552543022196398;0.006208094120950476;;;;0.006863348423170116
CLOUDFLARE INC;NET US Equity;;;;;;;0.0009347247136599748;;;;;0.0009347247136599748
NEUCA S.A.;NEU PW Equity;0.01511869198940272;0.0043133352708405626;;0.0049520815995768286;0.005874814583193994;0.00059778528653090544;0.005881699839759343;;0.003725364050109613;0.009961029510367064;0.002143429154831847;0.05256823128461288
NETFLIX INC;NFLX US Equity;;;;0.005896931809274132;;;;;;;;0.005896931809274132
NIKE;NKE US Equity;;;;;0.005164559332835639;;;;;;;0.005164559332835639
NOVO NORDISK A/S;NOVOB DC Equity;;;0.06266447450937491;0.007448366045731722;;;;;;;;0.070112840555106635
NOVANTA INC;NOVT US Equity;;;;;;;0.00042473501060903196;;;;;0.00042473501060903196
SERVICENOW INC;NOW US Equity;;;;0.007276556149971967;;;0.0017694320839000383;;;;;0.009045988233872004
NVIDIA CORP;NVDA US Equity;;;0.018216097827030646;0.02301995550230987;;0.003769007041919888;0.010911282807444345;;;0.020373083700608507;;0.07628942687931326
NATWEST GROUP PLC;NWG LN Equity;;;;;;0.0030279836480789785;;;;;;0.0030279836480789785
NEWAG S.A.;NWG PW Equity;;0.0045355932112262615;;;;0.0026749044125582655;;0.009177698214055294;0.0000201550290242155;0.010332344194666565;;0.0267406950615306
ORZEŁ BIAŁY S.A.;OBL PW Equity;;0.0014371057638928914;;;;;;;;;;0.0014371057638928914
ONDE S.A;OND PW Equity;;;;;;;;;;;0.000007061939233461607;0.000007061939233461607
ORANGE POLSKA S.A.;OPL PW Equity;0.013858330634180889;0.00270774667526798;0.00006041096024086736;;0.004858870875011677;0.007944376722193571;0.01235942975973191;0.01173774625757482;0.014632558561625022;;0.006907311557704835;0.07506678200353157
OPONEO.PL S.A.;OPN PW Equity;0.0040569489008393983;0.001728837777062206;;0.01036229172565428;0.0020421202171639133;0.005010020617668985;0.0023065850414942615;;;;0.006007933049314498;0.031514737329197544
