COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;Pekao TFI S.A.;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Generali Investments TFI S.A._pct;Goldman Sachs TFI S.A._pct;Investors TFI S.A._pct;Millennium TFI S.A._pct;Nationale-Nederlanden_pct;PFR TFI S.A._pct;PKO TFI S.A._pct;Pekao TFI S.A._pct;Santander TFI S.A._pct;UNIQA TFI S.A._pct;TOTAL_pct
THE MOSAIC COMPANY;MOS US Equity;0;0;5820;0;0;0;0;0;0;0;0;0;0;5820;;;;;;;;;;;;;;
TOLL BROTHERS INC;TOL US Equity;0;0;0;0;0;1029;0;0;0;0;0;0;0;1029;;;;;;;;;;;;;;
TOPGOLF CALLAWAY BRANDS CORP;CALY US Equity;0;0;0;0;0;-2046;0;0;0;0;0;0;0;-2046;;;;;;-100%;;;;;;;;-100%
TORPOL S.A.;TOR PW Equity;0;0;0;0;116388;0;5852;0;0;0;0;50822;20000;193062;;;;;752.1%;;;;;0%;;;;27.8%
TOTALENERGIES SE;TTE FP Equity;0;0;6275;0;0;0;0;0;0;0;0;0;0;6275;;;;;;;;;;;;;;
TOYA S.A.;TOA PW Equity;0;0;0;0;0;-2298;0;0;0;0;0;0;0;-2298;;0%;;;;-3.3%;;;;;;;;-2.3%
TREX COMPANY INC;TREX US Equity;0;0;0;0;0;792;0;0;0;0;0;0;0;792;;;;;;;;;;;;;;
TUI AG;TUI1 GR Equity;0;0;0;0;0;0;0;0;0;0;0;-80796;0;-80796;;;;;;;;;;;;-100%;;-100%
Take-Two Interactive Software Inc;TTWO US Equity;0;0;0;-483;0;0;0;0;0;0;0;0;0;-483;;;;-16.4%;;;;;;;;;;-16.4%
Tarsus Pharmaceuticals Inc.;TARS US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
Tesla Inc.;TSLA US Equity;0;0;0;654;0;439;0;0;0;0;0;0;0;1093;;;;;;;;;;;;;;
UNIBEP SA;UNI PW Equity;0;25906;0;0;0;0;0;0;-2470;0;0;0;0;23436;;119.1%;;;;;;;-100%;0%;;;;4.7%
UNITEDHEALTH GROUP INC;UNH US Equity;0;0;0;0;0;-289;0;0;0;0;0;0;0;-289;;;;;;-100%;;;;;;;;-100%
Ultimate Games S.A.;ULG PW Equity;-549;-16;0;0;0;0;0;0;0;0;0;0;0;-565;-13.6%;-1.7%;;;;;;;;;;;;-11.4%
UniCredit S.p.A.;UCG IM Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
Unimot S.A.;UNT PW Equity;0;1103;0;0;0;0;0;0;0;0;0;0;0;1103;;22060%;;;;;;;;;;;;22060%
Urteste S.A.;URT PW Equity;14220;0;0;0;0;0;0;0;0;0;0;0;0;14220;173.5%;;;;;;;;;;;;;173.5%
VERTIV HOLDINGS CO;VRT US Equity;0;0;0;0;0;0;0;0;0;0;0;2728;0;2728;;;;;;;;;;;;;;
VIGO PHOTONICS S.A.;VGO PW Equity;0;0;0;2613;4081;756;407;0;0;0;0;0;0;7857;;0%;;;;35.5%;42.3%;;;;;;;215.9%
VITA 34 AG;V3V GR Equity;0;0;338;0;0;0;0;0;0;0;0;0;0;338;;;;;;;;;;;;;;
VOTUM S.A.;VOT PW Equity;0;-241;0;0;22570;0;0;0;0;0;0;0;0;22329;;-4.2%;;;95.1%;;;;;;;;;75.6%
VOXEL S.A.;VOX PW Equity;107667;2835;0;0;52105;0;0;0;0;0;-15659;0;0;146948;3334.4%;60.7%;;;278.5%;;;;;;-31%;;;190.5%
VRG S.A.;VRG PW Equity;0;0;0;0;0;0;2214;0;0;0;0;866272;0;868486;;0%;;;;;17.8%;;0%;0%;;;;998.4%
VULCAN MATERIALS CO;VMC US Equity;0;0;0;0;0;487;0;0;0;0;0;0;0;487;;;;;;28.8%;;;;;;;;28.8%
Varonis Systems Inc.;VRNS US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
Veralto Corp;VLTO US Equity;0;0;0;-302;0;0;0;0;0;0;0;0;0;-302;;;;-100%;;;;;;;;;;-100%
Vercom S.A.;VRC PW Equity;90755;0;0;0;13418;0;0;0;5307;0;0;0;0;109480;174.1%;;;;11.8%;;;;;0%;0%;;;64.1%
