COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;Pekao TFI S.A.;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Generali Investments TFI S.A._pct;Goldman Sachs TFI S.A._pct;Investors TFI S.A._pct;Millennium TFI S.A._pct;Nationale-Nederlanden_pct;PFR TFI S.A._pct;PKO TFI S.A._pct;Pekao TFI S.A._pct;Santander TFI S.A._pct;UNIQA TFI S.A._pct;TOTAL_pct
MEDIGENE AG;MDG1 GR Equity;0;0;0;0;0;0;0;0;0;0;0;7533;0;7533;;;;;;;;;;;;;;
MERCOR S.A.;MCR PW Equity;0;-504;0;0;0;0;0;0;0;0;0;0;0;-504;;-3.3%;;;;;;;;;;;;-3.3%
META PLATFORMS INC;META US Equity;0;0;4170;0;0;1453;0;0;0;0;0;-1218;0;4405;;;;;;;;;;;0%;-100%;;122%
MFO S.A.;MFO PW Equity;25193;0;0;0;0;0;0;0;0;0;0;0;0;25193;185.3%;0%;;;;;;;;0%;;0%;;30%
MICRON TECHNOLOGY INC.;MU US Equity;0;0;11250;-1773;0;1027;0;0;0;0;0;4595;0;15099;;;;-50.4%;;;;;;;;;;429.3%
MICROSOFT CORPORATION;MSFT US Equity;0;0;710;553;0;-200;464;0;0;0;0;200;0;1727;;;;33.2%;;-11.1%;;;;;0%;9%;;17.8%
MINESTO AB;MINEST SS Equity;0;0;36100;0;0;0;0;0;0;0;0;0;0;36100;;;;;;;;;;;;;;
MIRBUD S.A.;MRB PW Equity;0;23555;157794;317844;-349244;-69196;0;0;-34456;0;11578;-46962;233988;244901;;38.6%;;1357.5%;-34%;-37.4%;;;-76.4%;;;-25%;148.9%;14.5%
ML SYSTEM S.A.;MLS PW Equity;0;0;0;0;0;0;1281;0;0;0;0;-1280;0;1;;0%;;;;;15.7%;;;;;-100%;;0%
MLP GROUP S.A.;MLG PW Equity;0;2271;0;0;-205;0;0;0;0;0;-30737;0;0;-28671;;2874.7%;;;-0.6%;0%;;;;;-18.7%;;0%;-13.9%
MO-BRUK S.A.;MBR PW Equity;10734;563;0;0;-2822;0;825;0;0;0;-3732;-4831;-2707;-1970;;32.1%;;;-100%;;58.7%;;;0%;-28.3%;-100%;-13.3%;-2.7%
MOL HUNGARIAN OIL & GAS PLC;MOL HB Equity;0;0;38000;0;0;0;0;0;0;0;0;0;0;38000;;;;;;;;;;;;;;
MOLECURE S.A.;MOC PW Equity;-35861;0;0;0;0;0;0;0;0;0;0;0;0;-35861;-100%;0%;;;;;;;;;;;;-91.1%
MTU Aero Engines AG;MTX GR Equity;0;0;0;-873;0;0;0;0;0;0;0;0;0;-873;;;;-100%;;;;;;;;;;-100%
MURAPOL S.A.;MUR PW Equity;0;0;0;0;0;0;0;0;0;0;0;40426;0;40426;;;;;;;;;;;;;;
MURPHY USA INC;MUSA US Equity;0;0;0;0;0;390;0;0;0;0;0;0;0;390;;;;;;;;;;;;;;
Marvell Technology Inc.;MRVL US Equity;0;0;0;0;0;-117;0;0;0;0;0;0;0;-117;;;;;;-2.2%;;;;;;;;-2.2%
Medinice S.A.;ICE PW Equity;-28537;0;0;0;0;0;0;0;0;0;0;0;0;-28537;-100%;;;;;;;;;;;;;-100%
Mercadolibre Inc.;MELI US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
Mondelez International, Inc.;MDLZ US Equity;0;0;0;0;0;0;0;0;0;0;-15871;0;0;-15871;;;;;;;;;;;-100%;;;-100%
Monster Beverage Corp;MNST US Equity;0;0;0;3671;0;0;0;0;0;0;0;0;0;3671;;;;;;;;;;;;;;
NEUCA S.A.;NEU PW Equity;30123;659;677;6;-26;542;350;0;201;0;-2785;-174;-185;29388;271.6%;205.9%;;0.2%;-1.8%;14.5%;56.5%;;;0%;-85%;-11%;-7.3%;51.1%
NEWAG S.A.;NWG PW Equity;0;-2289;0;0;40945;0;0;0;0;0;0;0;0;38656;;-11.6%;;;343.4%;;;;;;;;;122%
NEWMONT CORPORATION;NEM US Equity;108524;0;863;0;0;-4727;0;0;0;0;0;0;0;104660;430.2%;;;;;-62.1%;;;;;;;;318.7%
NIKE;NKE US Equity;12213;0;0;5004;0;0;0;0;0;0;0;0;0;17217;;;;163.7%;;;;;;;;;;563.4%
NOLATO AB;NOLAB SS Equity;0;0;20;0;0;0;0;0;0;0;0;0;0;20;;;;;;;;;;;;;;
NORFOLK SOUTHERN CORP;NSC US Equity;0;0;0;0;0;-474;0;0;0;0;0;0;0;-474;;;;;;-53.5%;;;;;;;;-53.5%
NOVO NORDISK A/S;NOVOB DC Equity;0;0;0;0;0;-1838;0;0;0;0;0;4115;0;2277;;;;;;-100%;;;;;;;;123.9%
NVIDIA CORP;NVDA US Equity;0;0;12000;6789;0;4375;1730;0;0;0;0;6113;0;31007;;;;713.9%;;366.7%;;;;;;518.9%;;933.4%
Nadaq Inc.;NDAQ US Equity;0;0;0;0;0;0;0;0;0;0;-11706;0;0;-11706;;;;;;;;;;;-100%;;;-100%
NanoGroup S.A.;NNG PW Equity;0;-12230;0;0;0;0;0;0;0;0;0;0;0;-12230;;-100%;;;;;;;;;;;;-100%
Nektar Therapeutics;NKTR US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
Nestle SA;NESN SW Equity;0;0;0;1842;0;0;0;0;0;0;0;0;0;1842;;;;100%;;;;;;;;;;100%
Novartis AG;NOVN SW Equity;0;0;0;0;0;0;0;0;0;0;-14020;0;0;-14020;;;;;;;;;;;-63.1%;;;-63.1%
OCULAR THERAPEUTIX, INC.;OCUL US Equity;0;0;0;0;0;0;0;0;0;0;0;-91841;0;-91841;;;;;;;;;;;;-82.5%;;-82.5%
OMV AG;OMV AV Equity;0;0;513;0;0;0;0;0;0;0;0;0;0;513;;;;;;;;;;;;;;
ONDE S.A.;OND PW Equity;0;-140;0;0;0;0;0;0;0;0;0;0;0;-140;;-100%;;;;;;;;;;;0%;-12.4%
ONE UNITED PROPERTIES SA;ONE RO Equity;0;0;0;0;0;0;0;0;0;0;0;4165669;0;4165669;;;;;;;;;;;;;;
ONESPAWORLD HOLDINGS LTD;OSW US Equity;0;0;0;0;0;4836;0;0;0;0;0;0;0;4836;;;;;;;;;;;;;;
OPONEO.PL S.A.;OPN PW Equity;101655;-3586;0;0;67698;1367;0;0;0;0;-5;0;0;167129;486.4%;-81.4%;;0%;359.1%;12.6%;;;;;-71.4%;;;257%
ORACLE CORPORATION;ORCL US Equity;0;0;0;0;0;356;0;0;0;0;0;0;0;356;;;;;;;;;;;;;;
ORANGE POLSKA S.A.;OPL PW Equity;0;6385;104500;-127749;193741;36763;-21473;0;-65882;0;99051;0;-13206;212130;;4.8%;;-49.2%;30.9%;9.2%;-18.8%;;-100%;0%;;;-2.5%;3%
ORLEN S.A.;PKN PW Equity;377608;27248;200100;107366;-62231;-95087;13858;0;36361;0;522310;63183;-84131;1106585;150.5%;16.5%;;47.3%;-14.6%;-4.5%;15.2%;;72.6%;0%;84.4%;28.7%;-29.7%;12.7%
ORZEŁ BIAŁY S.A.;OBL PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0%;;;;;;;;;;;;0%
OTP BANK NYRT.;OTP HB Equity;0;0;0;0;1210;0;0;0;0;0;0;0;0;1210;;;;;5.6%;;;;;;;;;5.6%
Occidental Petroleum Corp;OXY US Equity;0;0;0;7269;0;0;0;0;0;0;0;0;0;7269;;;;;;;;;;;;;;
Orsted A/S;ORSTED DC Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0%;;;0%
PALO ALTO NETWORKS, INC.;PANW US Equity;0;0;0;0;0;200;0;0;0;0;0;0;0;200;;;;;;;;;;;;;;
PARSONS CORP;PSN US Equity;0;0;0;0;0;4356;0;0;0;0;0;0;0;4356;;;;;;;;;;;;;;
PAYPAL HOLDINGS, INC.;PYPL US Equity;0;0;0;-695;0;0;0;0;0;0;0;-3991;0;-4686;;;;-100%;;;;;;;;-100%;;-100%
PCC ROKITA S.A.;PCR PW Equity;0;-1086;0;0;0;0;0;0;0;0;0;0;0;-1086;;-100%;;;;;;;;;;;;-100%
PCF GROUP SA;PCF PW Equity;0;-6;0;0;-2078;0;0;0;0;0;0;0;0;-2084;;-6.1%;;;-100%;;;;;0%;;;;-0.5%
PEABODY ENERGY CORP;BTU US Equity;0;0;17915;0;0;0;0;0;0;0;0;0;0;17915;;;;;;;;;;;;;;
PEPCO GROUP N.V.;PCO PW Equity;0;7053;135650;18329;-13835;-11899;5933;0;-16619;0;243440;72947;32583;473582;;13.5%;;22.7%;-4.8%;-32%;15.2%;;-100%;0%;291%;55.6%;25.1%;18.1%
PETROL DD LJUBLJANA;PETG SV Equity;0;0;60;0;0;0;0;0;0;0;0;0;0;60;;;;;;;;;;;;;;
PGE POLSKA GRUPA ENERGETYCZNA S.A.;PGE PW Equity;0;116400;542500;-63922;496546;-44022;5050;0;92290;0;-832948;-177956;-273833;-139895;;;;-31.6%;68.5%;-16.4%;3.3%;;456.1%;0%;-56.5%;-100%;-39.5%;-1.2%
PKP Cargo S.A.;PKP PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0%;;;;0%
PLANET FITNESS INC CL A;PLNT US Equity;0;0;0;0;0;-1432;0;0;0;0;0;0;0;-1432;;;;;;-100%;;;;;;;;-100%
PLAYWAY S.A.;PLW PW Equity;22404;0;0;3248;-6780;0;439;0;0;0;0;0;0;19311;223.5%;0%;;123.8%;-77.8%;;22.8%;;;0%;;;;65.9%
PNC FINANCIAL SERVICES GROUP;PNC US Equity;0;0;0;0;0;698;0;0;0;0;0;0;0;698;;;;;;;;;;;;;;
POINTPACK PL SA;PNT PW Equity;0;0;0;0;0;0;0;0;0;0;0;-8043;0;-8043;;;;;;;;;;;;-100%;;-100%
POLENERGIA S.A.;PEP PW Equity;0;-2001;0;0;-6490;0;0;0;0;0;0;0;55;-8436;;-17.3%;;;-52.2%;;;;;;;;0.5%;-24.7%
POLIMEX-MOSTOSTAL S.A.;PXM PW Equity;0;0;0;0;-1199932;0;0;0;-84601;0;0;0;0;-1284533;;;;;-100%;;;;-100%;;;;;-100%
POOL CORP;POOL US Equity;0;0;0;0;0;-448;0;0;0;0;0;0;0;-448;;;;;;-100%;;;;;;;;-100%
PORR AG;POS AV Equity;0;0;0;0;62554;0;0;0;0;0;0;0;0;62554;;;;;;;;;;;;;;
POWSZECHNA KASA OSZCZĘDNOŚCI BANK POLSKI S.A.;PKO PW Equity;1382259;-7831;360250;12312;338001;1297384;14410;0;11462;0;-30960;-10414;-92707;3274166;164.4%;-3%;;2.7%;27%;34.8%;9.9%;;12.3%;0%;-3.4%;-3.2%;-11.6%;21.8%
POWSZECHNY ZAKŁAD UBEZPIECZEŃ S.A.;PZU PW Equity;1360956;32882;168000;91178;368850;805493;24669;0;25197;0;695765;70605;511271;4154866;471.6%;23.6%;;42.9%;46.6%;26.9%;27%;;42.4%;0%;150%;30.1%;112.6%;41.8%
POZNAŃSKA KORPORACJA BUDOWLANA PEKABEX S.A.;PBX PW Equity;0;10924;0;0;0;0;12116;0;0;0;0;818;0;23858;;104.4%;;;;;71.8%;;;;;1.6%;;30.8%
PRZEDSIEBIORSTWO HYDRAULIKI SI;HDR PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0%;;;;0%
PSI SOFTWARE SE;PSAN GR Equity;0;0;8;0;0;0;0;0;0;0;0;0;0;8;;;;;;;;;;;;;;
Pan American Silver Corp;PAAS CN Equity;75442;0;0;0;0;0;0;0;0;0;0;0;0;75442;158.9%;;;;;;;;;;;;;158.9%
PepsiCo Inc.;PEP US Equity;0;0;0;0;0;0;0;0;0;0;3029;0;0;3029;;;;;;;;;;;;;;
Pernod Ricard;RI FP Equity;0;0;0;1802;0;0;0;0;0;0;0;0;0;1802;;;;359.7%;;;;;;;;;;359.7%
Pfizer Inc.;PFE US Equity;0;0;0;0;0;0;0;0;0;0;63461;0;0;63461;;;;;;;;;;;;;;
Poltreg SA;PTG PW Equity;7594;4730;0;0;0;0;0;0;0;0;0;0;0;12324;55.7%;;;;;;;;;;;;;90.4%
Procter & Gamble Company;PG US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0%;;;0%
QUALCOMM INC.;QCOM US Equity;0;0;0;0;0;578;0;0;0;0;0;0;0;578;;;;;;;;;;;;;;
QUANTA SERVICES INC;PWR US Equity;0;0;0;0;0;133;0;0;0;0;0;0;0;133;;;;;;6.1%;;;;;;;;6.1%
