COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Generali Investments TFI S.A._pct;Goldman Sachs TFI S.A._pct;Investors TFI S.A._pct;Millennium TFI S.A._pct;Nationale-Nederlanden_pct;PFR TFI S.A._pct;PKO TFI S.A._pct;PZU TFI S.A._pct;Pekao TFI S.A._pct;Pocztylion_pct;Santander TFI S.A._pct;UNIQA TFI S.A._pct;TOTAL_pct
Barrick Gold Corp;B US Equity;42634;0;3433;0;0;0;0;0;0;0;83651;0;0;0;0;129718;;;;;;;;;;;;;;;;
Berkshire Hathaway;BRK/A US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
CCC S.A.;MDV PW Equity;0;0;100;0;0;0;6171;0;1123;190518;0;16566;3135.5;0;0;217613.5;;;;;;;;;;;;;;;;
CD PROJEKT S.A.;CDR PW Equity;0;13050;1550;18821;56762;14536;7785;0;649;174303;240755;37103;18759;15285;13749;613107;;;;;;;;;;;;;;;;
CELON PHARMA S.A.;CLN PW Equity;65620;4963;0;0;44898;0;0;0;0;53905;0;0;0;0;0;169386;;;;;;;;;;;;;;;;
CEZ A.S.;CEZ CP Equity;0;0;800;0;5283;0;0;0;0;0;0;0;0;0;0;6083;;;;;;;;;;;;;;;;
CIECH S.A.;CIE PW Equity;0;3645;0;0;61977;14140;5196;0;6402;314592;0;96833;0;20591;0;523376;;;;;;;;;;;;;;;;
COGNOR HOLDING S.A.;COG PW Equity;0;19023;0;0;56183;0;0;0;0;0;0;0;0;0;0;75206;;;;;;;;;;;;;;;;
COMP S.A.;CMP PW Equity;0;318;0;0;0;0;0;0;0;0;0;0;0;0;0;318;;;;;;;;;;;;;;;;
CREEPY JAR S.A.;CRJ PW Equity;1808;286;557;0;3133;0;0;0;0;0;0;0;0;0;3119;8903;;;;;;;;;;;;;;;;
CRH PLC;CRH US Equity;0;0;0;0;0;0;0;0;0;0;0;12284;0;0;0;12284;;;;;;;;;;;;;;;;
CROWDSTRIKE HOLDINGS, INC.;CRWD US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;1214;0;1214;;;;;;;;;;;;;;;;
CSPX ISHARES VII PLC ISHRS CORE S&P 500 UCITS ETF USD (ACC);CSPX LN Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
CTP N.V.;CTPNV NA Equity;0;0;8;0;0;0;0;0;0;0;0;0;0;0;20971;20979;;;;;;;;;;;;;;;;
CYFROWY POLSAT S.A.;CPS PW Equity;0;50571;0;30891;151743;19225;31939;0;19817;1038406;0;100090;38386.2;49597;141919;1672584.2;;;;;;;;;;;;;;;;
Capgemini SE;CAP FP Equity;0;0;0;816;0;0;0;0;0;0;17107;0;0;0;0;17923;;;;;;;;;;;;;;;;
Captor Therapeutics S.A.;CTX PW Equity;14621;0;1188;0;4681;388;2888;0;0;0;0;0;0;0;0;23766;;;;;;;;;;;;;;;;
Cie Financiere Richemont SA;CFR SW Equity;0;0;0;0;0;0;0;0;0;0;12964;0;0;0;0;12964;;;;;;;;;;;;;;;;
Cisco Systems Inc;CSCO US Equity;0;0;0;3050;0;0;0;0;0;0;0;0;0;0;0;3050;;;;;;;;;;;;;;;;
Comarch S.A.;CMR PW Equity;3117;849;8810;8688;8438;0;693;0;115;30019;0;6570;6225.8;0;0;73524.8;;;;;;;;;;;;;;;;
Compremum S.A.;CPR PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Costco Wholesale Corp.;COST US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Covestro AG;1COV GR Equity;0;0;0;6520;0;0;0;0;0;0;0;8172;0;0;0;14692;;;;;;;;;;;;;;;;
DADELO S.A.;DAD PW Equity;0;2787;0;0;0;0;0;0;0;0;0;0;0;0;0;2787;;;;;;;;;;;;;;;;
DATAWALK S.A.;DAT PW Equity;30265;0;7950;0;4310;3355;3841;0;0;0;59884;0;0;0;0;109605;;;;;;;;;;;;;;;;
DEKPOL S.A.;DEK PW Equity;0;2238;0;0;0;0;0;0;0;0;0;0;0;0;0;2238;;;;;;;;;;;;;;;;
DELKO S.A.;DEL PW Equity;0;2245;0;0;0;0;0;0;0;0;0;0;0;0;0;2245;;;;;;;;;;;;;;;;
DEVELIA S.A.;DVL PW Equity;0;105238;0;0;0;0;0;0;0;469689;0;0;393474.9;423904;0;1392305.9;;;;;;;;;;;;;;;;
DINO POLSKA S.A.;DNP PW Equity;127812;10084;0;12821;62251;21447;6672;0;3896;279717;192319;39465;112112.2;12837;30222;911655.2;;;;;;;;;;;;;;;;
DOM DEVELOPMENT S.A.;DOM PW Equity;0;860;0;0;6391;9468;0;0;0;10538;0;9155;0;8648;0;45060;;;;;;;;;;;;;;;;
Danaher Corporation;DHR US Equity;0;0;0;0;0;0;0;0;0;0;0;2538;0;0;0;2538;;;;;;;;;;;;;;;;
ENEA S.A.;ENA PW Equity;0;22160;136450;0;94510;55563;45999;0;0;614343;0;0;0;0;0;969025;;;;;;;;;;;;;;;;
ENTER AIR S.A.;ENT PW Equity;0;0;0;39827;0;7629;0;0;0;0;0;0;0;0;0;47456;;;;;;;;;;;;;;;;
ERBUD S.A.;ERB PW Equity;12289;3775;0;0;0;5734;789;0;2480;0;0;0;0;19670;0;44737;;;;;;;;;;;;;;;;
ESOTIQ & HENDERSON S.A.;EAH PW Equity;0;7333;0;0;0;0;0;0;0;0;0;0;0;0;0;7333;;;;;;;;;;;;;;;;
EUROCASH S.A.;EUR PW Equity;0;13049;0;0;0;0;10039;0;0;762263;0;96141;0;57752;0;939244;;;;;;;;;;;;;;;;
EUROTEL S.A.;ETL PW Equity;0;3204;0;0;0;0;0;0;0;84216;0;0;0;0;0;87420;;;;;;;;;;;;;;;;
Echo Investment S.A.;ECH PW Equity;0;23191;0;0;0;0;28847;0;0;2373414;0;260864;0;0;0;2686316;;;;;;;;;;;;;;;;
FABRYKI MEBLI FORTE S.A.;FTE PW Equity;0;2042;0;0;0;4909;0;0;578;0;0;0;17897.6;0;0;25426.6;;;;;;;;;;;;;;;;
FAMUR S.A.;GEA PW Equity;0;136298;302100;0;1890289;0;0;0;0;307455;0;353875;0;241218;0;3231235;;;;;;;;;;;;;;;;
FAURECIA SE;FRVIA FP Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;8532;0;8532;;;;;;;;;;;;;;;;
FERRO S.A.;FRO PW Equity;0;2878;0;44551;0;34584;0;0;1128;100000;0;0;25454.5;0;9476;218071.5;;;;;;;;;;;;;;;;
GIEŁDA PAPIERÓW WARTOŚCIOWYCH W WARSZAWIE S.A.;GPW PW Equity;0;3834;0;0;17346;6553;0;0;0;102126;0;0;17566.6;0;0;147425.6;;;;;;;;;;;;;;;;
GIEŁDA PRAW MAJĄTKOWYCH VINDEXUS S.A.;VIN PW Equity;0;11400;0;0;0;0;0;0;0;0;0;0;0;0;0;11400;;;;;;;;;;;;;;;;
