COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Erste;Generali Investments TFI S.A.;ING;Investors TFI S.A.;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;UNIQA TFI S.A.;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Erste_pct;Generali Investments TFI S.A._pct;ING_pct;Investors TFI S.A._pct;PFR TFI S.A._pct;PKO TFI S.A._pct;PZU TFI S.A._pct;Pekao TFI S.A._pct;UNIQA TFI S.A._pct;TOTAL_pct
MCI MANAGEMENT S.A.;MCI PW Equity;0;0;0;0;0;146375;0;0;0;0;0;0;146375;;;;;;;;;;;;;
MEDINICE S.A.;ICE PW Equity;0;0;0;0;0;16533;0;0;0;0;0;0;16533;;;;;;;;;;;;;
MERCADOLIBRE INC;MELI US Equity;0;0;0;495;0;0;0;0;0;0;0;0;495;;;;;;;;;;;;;
MERCOR S.A.;MCR PW Equity;0;-5588;0;0;0;0;0;0;0;0;0;0;-5588;;-0.4513002745921499;;;;;;;;;;;-0.4513002745921499
META PLATFORMS INC;META US Equity;0;0;62;1209;0;0;-4166;0;0;0;6876;0;3981;;;0.01483253588516753;1.215075376884422;;;-0.8151046761886128;;;;2.8733806936899293;;0.31398375266188182
METLEN ENERGY & METALS PLC;MTLN LN Equity;0;0;0;0;0;46764;0;0;0;0;0;0;46764;;;;;;;;;;;;;
MFO S.A.;MFO PW Equity;-1000;-158;0;-2692;0;0;0;0;0;0;0;0;-3850;-0.025780504782283664;-0.027656222650096263;;-0.03560469791556453;;;;;;;;;-0.032053950545333443
MICROSOFT CORPORATION;MSFT US Equity;0;0;0;13522;0;3750;558;0;0;0;3590;0;21420;;;0;6.11025756891098;;;0.26062587575899123;0;;;0.7562671160733095;;2.0357346512069947
MIRBUD S.A.;MRB PW Equity;168956;5000;0;88155;9916;-616109;0;0;578571;0;0;-2029;232460;;0.07249003262051468;;0.4830808011617393;0.031537835224670463;-0.7976016632748701;0;0;8.61314813987763;0;0;-0.015737832072910574;0.039904644961785474
MLP GROUP S.A.;MLG PW Equity;0;3;0;0;0;-1005;0;0;0;0;0;1618;616;;0.001276595744680753;;;;-0.03087652462441237;0;;;;0;1.52497643732328;0.003802727345683987
MO-BRUK S.A.;MBR PW Equity;0;0;0;-836;0;0;0;0;69;0;0;529;-238;;0;;-0.11848072562358281;;;;;0.0027000586969281315;0;0;0.13248184322564494;-0.0023850324184028215
MODIVO S.A.;MDV PW Equity;-3271;-4571;1833;39914;5955;-128239;-16935;-10706;32696;0;83399;-20797;-20722;-0.0320648551150845;-0.25908292240548658;0.01843507995574778;1.5815667472362009;0.24212238259808892;-1;-0.6411858246251704;-0.3450543075385954;0.07242232475308064;0;1.2609655422670438;-1;-0.018702064790262818
MOL HUNGARIAN OIL & GAS PLC;MOL HB Equity;0;0;0;0;0;99851;0;0;0;0;0;0;99851;;;;;;;;;;;;;
MOLECURE S.A.;MOC PW Equity;0;-3485;0;0;0;0;0;0;0;0;0;0;-3485;;-1;;;;;;;;;;;-1
MSCI INC;MSCI US Equity;0;0;0;0;0;0;-198;0;0;0;0;0;-198;;;;;;;-1;;;;;;-1
MURAPOL S.A.;MUR PW Equity;0;0;0;23503;0;0;0;0;0;0;0;55310;78813;;;;0.3795888043671367;;;;;;0;;3.5617232275098206;0.23364183989280328
