COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL
BNP PARIBAS BANK POLSKA S.A.;BNPPPL PW Equity;;;;;0.0034453356926736056;0.009101103554283014;;;0.0015229396148766955;0.0043908870722657883;0.004083311248517095;;;0.002792421698004065;0.025335998880620263
PLN PEABODY ENERGY CORP;BTU US Equity;;;0.0200418744877721;;;;;;;;;;;;0.0200418744877721
Capgemini SE;CAP FP Equity;;;;0.005021578004695447;;;;;;;;;;;0.005021578004695447
INTER CARS S.A.;CAR PW Equity;0.011523930239435953;0.014307533595476336;;0.010069472223291929;0.01924717545674545;0.024522205211428187;0.018743898930521703;0.012306282807379874;0.018507083364118078;0.01801983428650086;0.01533566606514982;0.019977765533180605;0.02477380632977105;0.007809304850918639;0.2151439588939185
R22 S.A.;CBF PW Equity;0.022066700723869825;0.0010943619329950058;;0.010258295231362269;;;;;0.0010944185956907276;;;;0.007458879391271863;;0.04197265587518968
CCC S.A.;CCC PW Equity;;;0.00005148453572727167;;;;0.007039546533928764;;0.0021498621014662475;0.00554581996814999;0.002654500745763266;0.001321573476592241;;;0.018762787361627782
PLN CDRL S.A.;CDL PW Equity;;;0.00010568320839747859;;;;;;;;;;;;0.00010568320839747859
CD PROJEKT S.A.;CDR PW Equity;;0.027233681460893755;0.002413204007023425;0.02052970986540098;0.02324677764930184;0.015961837678042896;0.026855503148021898;0.02599440904873169;0.0037571720530004404;0.015343348667346073;0.017978761028418313;0.02391020323256523;0.017633204676063063;0.00846958344943406;0.22932739596424366
CEZ A.S.;CEZ CP Equity;;;0.001436657534955324;;0.0024956669131953357;;;;;;;;;;0.00393232444815066
PLN CF INDUSTRIES HOLDINGS INC;CF US Equity;;;0.005449775134618958;;;;;;;;;;;;0.005449775134618958
PLN CIRCA GROUP AS;CIRCA Equity;;;0.000006428901718106619;;;;;;;;;;;;0.000006428901718106619
CELON PHARMA S.A.;CLN PW Equity;;0.0011200801692441717;;;0.0019885708056609452;;;;;0.0005131606349827471;;;;;0.0036218116098878644
COMP S.A.;CMP PW Equity;;0.00021397361360891178;;;;;;;;;;;;;0.00021397361360891178
Comarch S.A.;CMR PW Equity;0.002847262428049533;0.0022413431783914448;0.01735174168420602;0.011988497443804322;0.0043716906127488553;;0.0030242155132418325;;0.0008422073990316233;0.003342845761244682;0.0040273644183084223;0.010038592813060623;;;0.06007576125208735
COGNOR HOLDING S.A.;COG PW Equity;;0.0013779972189048237;;;0.0007986996410202322;;;;;;;;;;0.0021766968599250558
Costco Wholesale Corp.;COST US Equity;;;;;;;;0.004995218743161633;;;;;;;0.004995218743161633
Compremum S.A.;CPR PW Equity;;;;;;;;0.009232223254136523;;;;;;;0.009232223254136523
