COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Erste;Generali Investments TFI S.A.;ING;Investors TFI S.A.;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;UNIQA TFI S.A.;TOTAL
RAWLPLUG S.A.;RWL PW Equity;;0.0010443857293756346;;;;;;;;;;;0.0010443857293756346
SAAB AB;SAABB SS Equity;;;;;;;0.00218089076786308;;;;;;0.00218089076786308
SAFRAN SA;SAF FP Equity;;;;;;;;0.006164034250177755;;;;;0.006164034250177755
BANCO SANTANDER S.A.;SAN SM Equity;;;0.0044254452755023327;;;;0.002714905549660374;;;;;;0.007140350825162707
SAP SE;SAP GR Equity;;;;;;;0.003332188580743323;;;;;;0.003332188580743323
SCANWAY S.A.;SCW PW Equity;;;;;;;;;;0.003709617545924428;;;0.003709617545924428
PLN K+S AG;SDF GR Equity;;;0.0005067422548444486;;;;;;;;;;0.0005067422548444486
SELENA FM S.A.;SEL PW Equity;;0.0010013140102857153;;;;;;;;;;;0.0010013140102857153
SHOPER S.A.;SHO PW Equity;0.01016041190766958;0.0012468809342332768;;0.009551794930039603;0.008011883146079165;0.002969218861406009;0.006182758288834889;0.009010747091375013;;0.004837182939245057;0.01044667705029596;0.00704585462945807;0.06946340977863662
SHOPIFY INC.;SHOP CN Equity;;;;;;;0.0016763082319016268;;;;;;0.0016763082319016268
SIEMENS AG;SIE GR Equity;;;;;;;0.0037257253007615626;;;;;;0.0037257253007615626
SIKA AG;SIKA SW Equity;;;;;;;0.0008791485990708156;;;;;;0.0008791485990708156
SNIEZKA SA;SKA PW Equity;;0.00010984133301260298;;;;;;;0.0015166375080284267;;;;0.0016264788410410297
SELVITA S.A.;SLV PW Equity;0.006119602651504354;0.0017953530566358977;0.00009422069561115999;;0.001669775343238417;0.0006557302719388372;0.0004362568969760025;;0.0007357036851382594;0.0020089489958919235;;0.002715893107772592;0.016231484704707444
PLN SUPER MICRO COMPUTER INC;SMCI US Equity;;;0.0043843183445206074;;;;;;;;;;0.0043843183445206074
Samsung Electronics;SMSN LI Equity;;;;;;;;;;;0.018724481194511196;;0.018724481194511196
SNOWFLAKE INC.;SNOW US Equity;;;;;;;;0.010759451012113985;;;;;0.010759451012113985
SYNEKTIK S.A.;SNT PW Equity;;0.00027245045286803115;;;;0.0015309702557976423;0.0023165945285236475;0.001529653203498159;;;;;0.005649668440687481
SANTANDER BANK POLSKA S.A.;SPL PW Equity;0.034502006049719496;0.03695427621160029;0.0461558438407335;0.032046365847354554;0.027628476434519613;0.019556808869068292;0.03343224863051613;0.025156287230634713;0.038257053054992065;0.033128287279135247;0.01384724079971155;0.006859193056663007;0.3475240873046485
SAIPEM SPA;SPM IM Equity;;;;0.005761925630314308;;;;;;;;;0.005761925630314308
STALPROFIL S.A.;STF PW Equity;;0.00013067105849151307;;;;;;;;;;;0.00013067105849151307
STALPRODUKT S.A.;STP PW Equity;;;;;;0.00009814150520437156;0.00030736619999858363;;;;;;0.00040550770520295515
STALEXPORT AUTOSTRADY SA;STX PW Equity;;0.0000014549595003955653;;;;;0.00000057736264923746105;;0.0008782321280345179;0.004166171558292555;;0.0017058150424319218;0.006752251050908628
TEN SQUARE GAMES SA;TEN PW Equity;;;;;;0.001022321224475566;;;0.0015624914873861617;;0.005141876957628794;;0.007726689669490521
THEON INTERNATIONAL PLC;THEON NA Equity;;;;;;0.00835224278375895;;;;;;;0.00835224278375895
BANCA TRANSILVANIA SA;TLV RO Equity;;;;;;0.009470572684687111;;;;;;;0.009470572684687111
TALEX SA;TLX PW Equity;;;;;;;;;0.0002197029041764117;;;;0.0002197029041764117
TOYA S.A.;TOA PW Equity;;0.0008393186834852545;;;;;0.0014194516422138037;;;;;;0.0022587703256990582
TORPOL S.A.;TOR PW Equity;;0.0033461243345019565;;0.0040227093343356757;;0.004074422579798933;;;0.006389219406569453;;;0.001446598665399767;0.019279074320605787
TAURON POLSKA ENERGIA S.A.;TPE PW Equity;;0.013053740364121191;;0.016475169614905223;0.01114565066375214;0.018828739725722812;0.020153481517857266;0.01485598536016786;0.017129578062319173;0.013938988583791996;0.011370856873863484;0.014132598875553353;0.1510847896420545
PLN TOTALENERGIES SE;TTE FP Equity;;;0.0011179417604299008;;;;;;;;;;0.0011179417604299008
LIVECHAT SOFTWARE SA;TXT PW Equity;;;;;;0.001329314367198187;;;0.002817514546736209;;0.004951664582965344;;0.00909849349689974
ULTIMATE GAMES SP. A.;ULG PW Equity;;0.0000520824229645374;;;;;;;;;;;0.0000520824229645374
UNIBEP SA;UNI PW Equity;0.0045564253020032985;0.0016287144157189642;;;;;;;0.0012760740942798401;;;;0.007461213812002103
UNIMOT S.A.;UNT PW Equity;;0.0008254669040086732;;;;;;;;;;;0.0008254669040086732
URTESTE S.A.;URT PW Equity;0.0008091313380318266;;;;;;;0.0005942360856946296;;;;;0.0014033674237264562
VISA INC.;V US Equity;;;;;;;0.005761059603313775;0.01093082587986657;;;;;0.016691885483180346
VIGO PHOTONICS S.A.;VGO PW Equity;;0.001490535640642562;;;0.0043596453551623826;0.0016696348356102095;0.0035748583026748776;;;;;;0.011094674134090032
GIEŁDA PRAW MAJĄTKOWYCH VINDEXUS S.A.;VIN PW Equity;;0.0006341214184579996;;;;;;;;;;;0.0006341214184579996
VULCAN MATERIALS CO;VMC US Equity;;;;;;;0.0044746965914555886;;;;;;0.0044746965914555886
Vonovia SE;VNA GR Equity;;;;;;;;;;;0.022897149960009884;;0.022897149960009884
VOTUM S.A.;VOT PW Equity;;0.001277832176248164;;;;0.0016032360683290825;;;;;;;0.002881068244577246
VOXEL S.A.;VOX PW Equity;0.015433971914550708;0.005182765594608626;;;;0.009190204743598792;;;0.00008231859742362282;0.006183942609122115;0.005847629507555432;;0.04192083296685929
